time	V(a)	V(b)	V(c)	V(d)	V(out)
5.726428571421743e-007	4.979868e+000	1.821228e-002	5.194604e+000	4.179655e+000	1.006627e+000
5.812142857135926e-007	4.979766e+000	1.660839e-002	5.188317e+000	4.229223e+000	9.878452e-001
5.897857142850109e-007	4.979649e+000	1.485896e-002	5.180789e+000	4.276219e+000	9.690548e-001
5.983571428564293e-007	4.979518e+000	1.296399e-002	5.172020e+000	4.320643e+000	9.502559e-001
6.069285714278476e-007	4.979372e+000	1.092349e-002	5.162009e+000	4.362495e+000	9.314484e-001
6.154999999992659e-007	4.979212e+000	8.737441e-003	5.150757e+000	4.401776e+000	9.126323e-001
6.250714285706830e-007	4.979046e+000	6.324516e-003	5.137922e+000	4.442630e+000	8.916334e-001
6.346428571421002e-007	4.978889e+000	3.864335e-003	5.124117e+000	4.481033e+000	8.707580e-001
6.442142857135173e-007	4.978742e+000	1.356900e-003	5.109342e+000	4.516984e+000	8.500062e-001
6.537857142849344e-007	4.978603e+000	-1.197789e-003	5.093599e+000	4.550483e+000	8.293779e-001
6.633571428563516e-007	4.978473e+000	-3.799734e-003	5.076886e+000	4.581530e+000	8.088732e-001
6.729285714277687e-007	4.978352e+000	-6.448933e-003	5.059204e+000	4.610125e+000	7.884920e-001
6.824999999991858e-007	4.978240e+000	-9.145387e-003	5.040552e+000	4.636269e+000	7.682344e-001
6.999285714277364e-007	4.978094e+000	-1.402160e-002	5.004946e+000	4.677929e+000	7.317751e-001
7.173571428562871e-007	4.978009e+000	-1.892296e-002	4.966942e+000	4.715644e+000	6.963275e-001
7.347857142848376e-007	4.977985e+000	-2.384948e-002	4.926541e+000	4.749412e+000	6.618916e-001
7.522142857133882e-007	4.978022e+000	-2.880114e-002	4.883741e+000	4.779233e+000	6.284675e-001
7.696428571419388e-007	4.978121e+000	-3.377796e-002	4.838544e+000	4.805108e+000	5.960551e-001
7.870714285704895e-007	4.978281e+000	-3.877993e-002	4.790949e+000	4.827037e+000	5.646545e-001
8.044999999990400e-007	4.978502e+000	-4.380705e-002	4.740955e+000	4.845019e+000	5.342656e-001
8.352142857132890e-007	4.979051e+000	-5.327141e-002	4.642628e+000	4.872317e+000	4.841766e-001
8.659285714275380e-007	4.979693e+000	-6.236118e-002	4.542206e+000	4.895620e+000	4.374644e-001
8.966428571417870e-007	4.980430e+000	-7.107637e-002	4.439687e+000	4.914929e+000	3.941289e-001
9.273571428560360e-007	4.981261e+000	-7.941696e-002	4.335073e+000	4.930242e+000	3.541701e-001
9.580714285702849e-007	4.982186e+000	-8.738298e-002	4.228363e+000	4.941561e+000	3.175881e-001
9.887857142845341e-007	4.983205e+000	-9.497440e-002	4.119556e+000	4.948885e+000	2.843828e-001
1.019499999998783e-006	4.984318e+000	-1.021912e-001	4.008655e+000	4.952214e+000	2.545542e-001
1.020499999998782e-006	4.984352e+000	-1.024261e-001	4.005057e+000	4.952377e+000	2.536242e-001
1.041785714284471e-006	4.985071e+000	-1.074529e-001	3.928123e+000	4.955384e+000	2.347095e-001
1.063071428570159e-006	4.985778e+000	-1.123671e-001	3.850856e+000	4.958059e+000	2.169367e-001
1.084357142855848e-006	4.986474e+000	-1.171687e-001	3.773256e+000	4.960403e+000	2.003059e-001
1.105642857141537e-006	4.987157e+000	-1.218576e-001	3.695324e+000	4.962417e+000	1.848171e-001
1.126928571427226e-006	4.987829e+000	-1.264339e-001	3.617059e+000	4.964100e+000	1.704702e-001
1.148214285712915e-006	4.988489e+000	-1.308976e-001	3.538461e+000	4.965451e+000	1.572653e-001
1.169499999998604e-006	4.989138e+000	-1.352487e-001	3.459531e+000	4.966472e+000	1.452024e-001
1.181928571427160e-006	4.989558e+000	-1.373279e-001	3.413426e+000	4.967068e+000	1.385231e-001
1.194357142855717e-006	4.990031e+000	-1.384785e-001	3.367386e+000	4.967631e+000	1.321220e-001
1.206785714284274e-006	4.990557e+000	-1.387007e-001	3.321412e+000	4.968160e+000	1.259992e-001
1.219214285712830e-006	4.991136e+000	-1.379943e-001	3.275503e+000	4.968656e+000	1.201547e-001
1.231642857141386e-006	4.991767e+000	-1.363595e-001	3.229660e+000	4.969118e+000	1.145884e-001
1.244071428569943e-006	4.992451e+000	-1.337961e-001	3.183882e+000	4.969547e+000	1.093004e-001
1.256499999998500e-006	4.993188e+000	-1.303042e-001	3.138169e+000	4.969942e+000	1.042907e-001
1.267928571427057e-006	4.993932e+000	-1.258274e-001	3.096274e+000	4.970292e+000	9.989081e-002
1.279357142855615e-006	4.994728e+000	-1.198996e-001	3.054540e+000	4.970631e+000	9.566810e-002
1.290785714284173e-006	4.995579e+000	-1.125208e-001	3.012969e+000	4.970957e+000	9.162252e-002
1.302214285712731e-006	4.996482e+000	-1.036909e-001	2.971559e+000	4.971273e+000	8.775409e-002
1.313642857141288e-006	4.997439e+000	-9.340993e-002	2.930312e+000	4.971576e+000	8.406280e-002
1.325071428569846e-006	4.998450e+000	-8.167796e-002	2.889227e+000	4.971868e+000	8.054865e-002
1.336499999998404e-006	4.999514e+000	-6.849495e-002	2.848304e+000	4.972148e+000	7.721163e-002
1.342642857141254e-006	5.000109e+000	-6.062261e-002	2.826404e+000	4.972297e+000	7.547454e-002
1.348785714284104e-006	5.000722e+000	-5.220311e-002	2.804567e+000	4.972445e+000	7.377848e-002
1.354928571426953e-006	5.001352e+000	-4.323643e-002	2.782792e+000	4.972590e+000	7.212347e-002
1.361071428569803e-006	5.001999e+000	-3.372258e-002	2.761079e+000	4.972734e+000	7.050950e-002
1.367214285712653e-006	5.002664e+000	-2.366156e-002	2.739428e+000	4.972875e+000	6.893657e-002
1.373357142855503e-006	5.003345e+000	-1.305336e-002	2.717839e+000	4.973015e+000	6.740468e-002
1.379499999998353e-006	5.004044e+000	-1.897997e-003	2.696312e+000	4.973153e+000	6.591383e-002
1.381499999998350e-006	5.004275e+000	1.873308e-003	2.689318e+000	4.973198e+000	6.543595e-002
1.384499999998347e-006	5.004626e+000	7.650034e-003	2.678841e+000	4.973265e+000	6.472661e-002
1.391357142855481e-006	5.005442e+000	2.134239e-002	2.654951e+000	4.973416e+000	6.314103e-002
1.398214285712616e-006	5.006285e+000	3.587513e-002	2.631144e+000	4.973566e+000	6.159844e-002
1.405071428569751e-006	5.007154e+000	5.124826e-002	2.607421e+000	4.973714e+000	6.009882e-002
1.411928571426885e-006	5.008050e+000	6.746177e-002	2.583780e+000	4.973860e+000	5.864219e-002
1.418785714284020e-006	5.008972e+000	8.451567e-002	2.560223e+000	4.974004e+000	5.722853e-002
1.425642857141155e-006	5.009921e+000	1.024100e-001	2.536749e+000	4.974147e+000	5.585786e-002
1.432499999998289e-006	5.010896e+000	1.211446e-001	2.513359e+000	4.974288e+000	5.453016e-002
1.443642857141133e-006	5.012529e+000	1.533157e-001	2.475569e+000	4.974516e+000	5.246053e-002
1.454785714283977e-006	5.014269e+000	1.884360e-001	2.437941e+000	4.974737e+000	5.048491e-002
1.465928571426821e-006	5.016118e+000	2.265056e-001	2.400472e+000	4.974951e+000	4.860329e-002
1.477071428569665e-006	5.018074e+000	2.675244e-001	2.363164e+000	4.975158e+000	4.681567e-002
1.488214285712509e-006	5.020139e+000	3.114925e-001	2.326016e+000	4.975357e+000	4.512206e-002
1.499357142855352e-006	5.022312e+000	3.584098e-001	2.289029e+000	4.975550e+000	4.352245e-002
1.510499999998196e-006	5.024592e+000	4.082764e-001	2.252202e+000	4.975735e+000	4.201685e-002
1.518928571426757e-006	5.026433e+000	4.486175e-001	2.224289e+000	4.975866e+000	4.093354e-002
1.527357142855319e-006	5.028359e+000	4.910819e-001	2.196428e+000	4.975989e+000	3.989433e-002
1.535785714283880e-006	5.030370e+000	5.356697e-001	2.168617e+000	4.976106e+000	3.889921e-002
1.544214285712441e-006	5.032467e+000	5.823810e-001	2.140857e+000	4.976216e+000	3.794818e-002
1.552642857141003e-006	5.034649e+000	6.312156e-001	2.113149e+000	4.976319e+000	3.704124e-002
1.561071428569564e-006	5.036917e+000	6.821737e-001	2.085491e+000	4.976415e+000	3.617839e-002
1.569499999998126e-006	5.039270e+000	7.352551e-001	2.057884e+000	4.976504e+000	3.535964e-002
1.572499999998122e-006	5.040116e+000	7.545537e-001	2.048092e+000	4.976533e+000	3.507467e-002
1.589785714283816e-006	5.044990e+000	8.696929e-001	1.992741e+000	4.976719e+000	3.352481e-002
1.607071428569509e-006	5.050445e+000	9.949519e-001	1.937208e+000	4.976843e+000	3.212896e-002
1.624357142855203e-006	5.056481e+000	1.130331e+000	1.881494e+000	4.976904e+000	3.088711e-002
1.641642857140896e-006	5.063098e+000	1.275829e+000	1.825598e+000	4.976902e+000	2.979928e-002
1.658928571426590e-006	5.070297e+000	1.431447e+000	1.769521e+000	4.976838e+000	2.886545e-002
1.676214285712284e-006	5.078077e+000	1.597185e+000	1.713263e+000	4.976711e+000	2.808563e-002
1.693499999997977e-006	5.086437e+000	1.773043e+000	1.656823e+000	4.976521e+000	2.745983e-002
1.709357142855101e-006	5.094616e+000	1.943495e+000	1.607346e+000	4.976588e+000	2.702979e-002
1.725214285712225e-006	5.102891e+000	2.113101e+000	1.559991e+000	4.976732e+000	2.663851e-002
1.741071428569349e-006	5.111261e+000	2.281862e+000	1.514757e+000	4.976951e+000	2.628599e-002
1.756928571426473e-006	5.119727e+000	2.449777e+000	1.471644e+000	4.977247e+000	2.597223e-002
1.772785714283597e-006	5.128289e+000	2.616846e+000	1.430654e+000	4.977619e+000	2.569723e-002
1.788642857140721e-006	5.136946e+000	2.783070e+000	1.391784e+000	4.978066e+000	2.546098e-002
1.804499999997845e-006	5.145699e+000	2.948448e+000	1.355037e+000	4.978590e+000	2.526350e-002
1.817214285712115e-006	5.153012e+000	3.074925e+000	1.325309e+000	4.978895e+000	2.513347e-002
1.829928571426386e-006	5.160281e+000	3.196639e+000	1.295742e+000	4.979164e+000	2.499620e-002
1.842642857140656e-006	5.167505e+000	3.313590e+000	1.266335e+000	4.979397e+000	2.485168e-002
1.855357142854927e-006	5.174683e+000	3.425778e+000	1.237089e+000	4.979595e+000	2.469992e-002
1.868071428569197e-006	5.181817e+000	3.533204e+000	1.208003e+000	4.979758e+000	2.454091e-002
1.880785714283468e-006	5.188906e+000	3.635866e+000	1.179076e+000	4.979884e+000	2.437466e-002
1.893499999997738e-006	5.195950e+000	3.733766e+000	1.150311e+000	4.979976e+000	2.420115e-002
1.900357142854873e-006	5.199926e+000	3.785239e+000	1.134882e+000	4.980025e+000	2.414380e-002
1.907214285712007e-006	5.202932e+000	3.835740e+000	1.119528e+000	4.980061e+000	2.395146e-002
1.914071428569142e-006	5.204968e+000	3.885270e+000	1.104248e+000	4.980083e+000	2.362414e-002
1.920928571426277e-006	5.206033e+000	3.933828e+000	1.089042e+000	4.980090e+000	2.316182e-002
1.927785714283411e-006	5.206128e+000	3.981416e+000	1.073911e+000	4.980084e+000	2.256452e-002
1.934642857140546e-006	5.205253e+000	4.028032e+000	1.058854e+000	4.980063e+000	2.183223e-002
1.941499999997681e-006	5.203408e+000	4.073677e+000	1.043871e+000	4.980028e+000	2.096496e-002
1.950071428569099e-006	5.199581e+000	4.128349e+000	1.025106e+000	4.979954e+000	1.964916e-002
1.958642857140517e-006	5.194514e+000	4.180449e+000	1.006333e+000	4.979866e+000	1.818806e-002
1.967214285711936e-006	5.188207e+000	4.229978e+000	9.875509e-001	4.979763e+000	1.658166e-002
1.975785714283354e-006	5.180660e+000	4.276934e+000	9.687605e-001	4.979646e+000	1.482996e-002
1.984357142854773e-006	5.171872e+000	4.321319e+000	9.499615e-001	4.979515e+000	1.293295e-002
1.992928571426191e-006	5.161844e+000	4.363132e+000	9.311541e-001	4.979369e+000	1.089063e-002
2.001499999997609e-006	5.150576e+000	4.402373e+000	9.123382e-001	4.979209e+000	8.703017e-003
2.007499999997602e-006	5.142685e+000	4.428436e+000	8.991915e-001	4.979107e+000	7.204309e-003
2.013499999997595e-006	5.134394e+000	4.453460e+000	8.860813e-001	4.979008e+000	5.683638e-003
2.019499999997588e-006	5.125702e+000	4.477446e+000	8.730075e-001	4.978910e+000	4.141002e-003
2.025499999997580e-006	5.116610e+000	4.500394e+000	8.599703e-001	4.978816e+000	2.576402e-003
2.031499999997573e-006	5.107118e+000	4.522304e+000	8.469695e-001	4.978723e+000	9.898380e-004
2.037499999997566e-006	5.097226e+000	4.543175e+000	8.340053e-001	4.978633e+000	-6.186905e-004
2.043499999997559e-006	5.086933e+000	4.563008e+000	8.210775e-001	4.978546e+000	-2.249183e-003
2.044499999997558e-006	5.085184e+000	4.566239e+000	8.189307e-001	4.978531e+000	-2.522251e-003
2.054642857140403e-006	5.066736e+000	4.597227e+000	7.971939e-001	4.978393e+000	-5.337818e-003
2.064785714283248e-006	5.047452e+000	4.626202e+000	7.757102e-001	4.978275e+000	-8.163085e-003
2.074928571426093e-006	5.027333e+000	4.653165e+000	7.544796e-001	4.978176e+000	-1.099805e-002
2.085071428568938e-006	5.006377e+000	4.678115e+000	7.335022e-001	4.978097e+000	-1.384272e-002
2.095214285711783e-006	4.984585e+000	4.701052e+000	7.127778e-001	4.978039e+000	-1.669709e-002
2.105357142854628e-006	4.961958e+000	4.721976e+000	6.923066e-001	4.978000e+000	-1.956116e-002
2.115499999997473e-006	4.938494e+000	4.740888e+000	6.720884e-001	4.977981e+000	-2.243493e-002
2.127785714283172e-006	4.909552e+000	4.761586e+000	6.480274e-001	4.977996e+000	-2.583461e-002
2.140071428568872e-006	4.879201e+000	4.780911e+000	6.245380e-001	4.978038e+000	-2.928333e-002
2.152357142854572e-006	4.847442e+000	4.798864e+000	6.016203e-001	4.978107e+000	-3.278112e-002
2.164642857140271e-006	4.814274e+000	4.815445e+000	5.792743e-001	4.978204e+000	-3.632796e-002
2.176928571425971e-006	4.779698e+000	4.830653e+000	5.575000e-001	4.978327e+000	-3.992386e-002
2.189214285711671e-006	4.743713e+000	4.844489e+000	5.362974e-001	4.978478e+000	-4.356882e-002
2.201499999997370e-006	4.706320e+000	4.856952e+000	5.156664e-001	4.978655e+000	-4.726283e-002
2.234642857140187e-006	4.598575e+000	4.882982e+000	4.632298e-001	4.979335e+000	-5.727330e-002
2.267785714283005e-006	4.488685e+000	4.905067e+000	4.146464e-001	4.980103e+000	-6.687365e-002
2.300928571425823e-006	4.376648e+000	4.923209e+000	3.699164e-001	4.980960e+000	-7.606389e-002
2.334071428568640e-006	4.262464e+000	4.937407e+000	3.290397e-001	4.981904e+000	-8.484401e-002
2.367214285711458e-006	4.146135e+000	4.947660e+000	2.920162e-001	4.982937e+000	-9.321403e-002
2.400357142854275e-006	4.027660e+000	4.953970e+000	2.588461e-001	4.984059e+000	-1.011739e-001
2.433499999997093e-006	3.907038e+000	4.956336e+000	2.295293e-001	4.985268e+000	-1.087237e-001
2.451214285711357e-006	3.842608e+000	4.958393e+000	2.150381e-001	4.985852e+000	-1.128757e-001
2.468928571425622e-006	3.777968e+000	4.960252e+000	2.013059e-001	4.986428e+000	-1.169230e-001
2.486642857139886e-006	3.713118e+000	4.961913e+000	1.883326e-001	4.986998e+000	-1.208655e-001
2.504357142854151e-006	3.648059e+000	4.963376e+000	1.761182e-001	4.987561e+000	-1.247033e-001
2.522071428568416e-006	3.582790e+000	4.964642e+000	1.646628e-001	4.988117e+000	-1.284364e-001
2.539785714282680e-006	3.517312e+000	4.965710e+000	1.539662e-001	4.988667e+000	-1.320648e-001
2.557499999996944e-006	3.451624e+000	4.966580e+000	1.440285e-001	4.989210e+000	-1.355884e-001
2.569928571425501e-006	3.405519e+000	4.967168e+000	1.374024e-001	4.989637e+000	-1.375715e-001
2.582357142854058e-006	3.359483e+000	4.967724e+000	1.310527e-001	4.990117e+000	-1.386044e-001
2.594785714282614e-006	3.313517e+000	4.968247e+000	1.249795e-001	4.990651e+000	-1.386873e-001
2.607214285711171e-006	3.267619e+000	4.968737e+000	1.191826e-001	4.991239e+000	-1.378202e-001
2.619642857139727e-006	3.221791e+000	4.969194e+000	1.136621e-001	4.991880e+000	-1.360029e-001
2.632071428568284e-006	3.176032e+000	4.969618e+000	1.084180e-001	4.992575e+000	-1.332356e-001
2.644499999996840e-006	3.130342e+000	4.970009e+000	1.034503e-001	4.993323e+000	-1.295182e-001
