time	V(1_a1)	V(2_a0)	V(3_b1)	V(4_b0)	V(5_c0)	V(6_q1)	V(7_q0)
5.000787309134903e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-2.593142e-006	-1.440334e-004	-8.757823e-002
5.000904670015416e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-1.490571e-006	-1.955701e-004	-1.094981e-001
5.001037007552613e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-4.304590e-007	-2.295754e-004	-1.306844e-001
5.001157995833628e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.126065e-007	-2.447601e-004	-1.445536e-001
5.001277645037467e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	8.262857e-007	-2.486238e-004	-1.509899e-001
5.001397820106812e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.155116e-006	-2.445308e-004	-1.493287e-001
5.001518522475189e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.328271e-006	-2.342552e-004	-1.396202e-001
5.001629127849660e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.371105e-006	-2.209258e-004	-1.240554e-001
5.001749750341982e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.326121e-006	-2.037565e-004	-1.009646e-001
5.001873222562266e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.213294e-006	-1.847048e-004	-7.066435e-002
5.002120167002835e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	9.097645e-007	-1.459777e-004	5.882282e-003
5.002378643078267e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.751312e-007	-1.070758e-004	1.056887e-001
5.002538944617252e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.845398e-007	-8.498083e-005	1.819612e-001
5.002700881109910e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	2.256530e-007	-6.529927e-005	2.705528e-001
5.002925571759160e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.404688e-008	-4.168466e-005	4.040068e-001
5.003132448687877e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-5.839003e-008	-2.359204e-005	5.376559e-001
5.003371627355727e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-1.407553e-007	-6.779445e-006	7.051854e-001
5.003563751140775e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-1.775891e-007	3.872930e-006	8.482037e-001
5.003752411712983e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-1.922350e-007	1.189545e-005	9.947317e-001
5.003957503973849e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-1.914994e-007	1.825424e-005	1.160142e+000
5.004299186872849e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-1.701389e-007	2.500208e-005	1.448138e+000
5.004726326014221e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-1.296746e-007	2.916997e-005	1.822402e+000
5.005101054784741e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-9.154117e-008	2.979086e-005	2.156916e+000
5.005502269546487e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-5.589694e-008	2.830510e-005	2.511462e+000
5.005937712487624e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-2.734787e-008	2.544158e-005	2.876368e+000
5.006555735553351e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	-1.689703e-009	2.064647e-005	3.342015e+000
5.007166874670239e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.132412e-008	1.603574e-005	3.728253e+000
5.007897186544885e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.633149e-008	1.131106e-005	4.089539e+000
5.008625223098705e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.584423e-008	7.671203e-006	4.356028e+000
5.009437615447719e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	1.290247e-008	4.834443e-006	4.561691e+000
5.010437417227735e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	9.121591e-009	2.569869e-006	4.730294e+000
5.011295589362420e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	6.627199e-009	1.384657e-006	4.824084e+000
5.012093253904025e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	5.084934e-009	7.368506e-007	4.880061e+000
5.012720643424293e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	4.325916e-009	4.283691e-007	4.909639e+000
5.013439037978840e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.830435e-009	2.235262e-007	4.932801e+000
5.014539533252098e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.433955e-009	4.800946e-008	4.957988e+000
5.015247532166010e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.326655e-009	-8.887501e-009	4.969320e+000
5.016046697056863e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.304089e-009	-3.615853e-008	4.978100e+000
5.016775436093633e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.318464e-009	-4.653627e-008	4.983906e+000
5.017585192224295e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.352519e-009	-4.697248e-008	4.988493e+000
5.018489224599399e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.395263e-009	-4.079492e-008	4.992059e+000
5.019596508853726e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.442875e-009	-3.057344e-008	4.994940e+000
5.020901803985074e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.486374e-009	-1.918614e-008	4.997025e+000
5.022488030188945e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.521516e-009	-8.372975e-009	4.998440e+000
5.024381478353587e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.545319e-009	2.789149e-010	4.999284e+000
5.026756398870549e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.559276e-009	6.574199e-009	4.999735e+000
5.029914084702012e-004	0.000000e+000	0.000000e+000	0.000000e+000	5.000000e+000	3.565913e-009	1.069744e-008	4.999934e+000
