v1	-I(V2)
0.000000000000000e+000	1.000100e-011
1.000000000000000e-003	1.000100e-011
2.000000000000000e-003	1.000100e-011
3.000000000000000e-003	1.000100e-011
4.000000000000000e-003	1.000100e-011
5.000000000000000e-003	1.000100e-011
6.000000000000000e-003	1.000100e-011
7.000000000000000e-003	1.000100e-011
8.000000000000000e-003	1.000100e-011
9.000000000000001e-003	1.000100e-011
1.000000000000000e-002	1.000100e-011
1.100000000000000e-002	1.000100e-011
1.200000000000000e-002	1.000100e-011
1.300000000000001e-002	1.000100e-011
1.400000000000001e-002	1.000100e-011
1.500000000000001e-002	1.000100e-011
1.600000000000001e-002	1.000100e-011
1.700000000000001e-002	1.000100e-011
1.800000000000001e-002	1.000100e-011
1.900000000000001e-002	1.000100e-011
2.000000000000001e-002	1.000100e-011
2.100000000000001e-002	1.000100e-011
2.200000000000001e-002	1.000100e-011
2.300000000000001e-002	1.000100e-011
2.400000000000001e-002	1.000100e-011
2.500000000000002e-002	1.000100e-011
2.600000000000002e-002	1.000100e-011
2.700000000000002e-002	1.000100e-011
2.800000000000002e-002	1.000100e-011
2.900000000000002e-002	1.000100e-011
3.000000000000002e-002	1.000100e-011
3.100000000000002e-002	1.000100e-011
3.200000000000002e-002	1.000100e-011
3.300000000000002e-002	1.000100e-011
3.400000000000002e-002	1.000100e-011
3.500000000000002e-002	1.000100e-011
3.600000000000003e-002	1.000100e-011
3.700000000000003e-002	1.000100e-011
3.800000000000003e-002	1.000100e-011
3.900000000000003e-002	1.000100e-011
4.000000000000003e-002	1.000100e-011
4.100000000000003e-002	1.000100e-011
4.200000000000003e-002	1.000100e-011
4.300000000000003e-002	1.000100e-011
4.400000000000003e-002	1.000100e-011
4.500000000000003e-002	1.000100e-011
4.600000000000003e-002	1.000100e-011
4.700000000000004e-002	1.000100e-011
4.800000000000004e-002	1.000100e-011
4.900000000000004e-002	1.000100e-011
5.000000000000004e-002	1.000100e-011
5.100000000000004e-002	1.000100e-011
5.200000000000004e-002	1.000100e-011
5.300000000000004e-002	1.000100e-011
5.400000000000004e-002	1.000100e-011
5.500000000000004e-002	1.000100e-011
5.600000000000004e-002	1.000100e-011
5.700000000000004e-002	1.000100e-011
5.800000000000005e-002	1.000100e-011
5.900000000000005e-002	1.000100e-011
6.000000000000005e-002	1.000100e-011
6.100000000000005e-002	1.000100e-011
6.200000000000005e-002	1.000100e-011
6.300000000000004e-002	1.000100e-011
6.400000000000004e-002	1.000100e-011
6.500000000000004e-002	1.000100e-011
6.600000000000005e-002	1.000100e-011
6.700000000000005e-002	1.000100e-011
6.800000000000005e-002	1.000100e-011
6.900000000000005e-002	1.000100e-011
7.000000000000005e-002	1.000100e-011
7.100000000000005e-002	1.000100e-011
7.200000000000005e-002	1.000100e-011
7.300000000000005e-002	1.000100e-011
7.400000000000005e-002	1.000100e-011
7.500000000000005e-002	1.000100e-011
7.600000000000005e-002	1.000100e-011
7.700000000000006e-002	1.000100e-011
7.800000000000006e-002	1.000100e-011
