v2	-I(V2)
0.000000000000000e+000	1.234231e-033
1.000000000000000e-001	1.894205e-004
2.000000000000000e-001	3.707064e-004
3.000000000000000e-001	5.438186e-004
4.000000000000000e-001	7.087181e-004
5.000000000000000e-001	8.653660e-004
6.000000000000000e-001	1.013723e-003
7.000000000000000e-001	1.153750e-003
7.999999999999999e-001	1.285408e-003
8.999999999999999e-001	1.408659e-003
1.000000000000000e+000	1.523462e-003
1.000000000000000e+000	1.523462e-003
1.500000000000000e+000	1.969409e-003
2.000000000000000e+000	2.198325e-003
2.500000000000000e+000	2.238141e-003
3.000000000000000e+000	2.254320e-003
3.500000000000000e+000	2.270499e-003
4.000000000000000e+000	2.286679e-003
4.500000000000000e+000	2.302858e-003
5.000000000000000e+000	2.319037e-003
